country,quarter,gross_domestic_product_chain_linked_volume_rebased_us_dollars_ppp_converted,final_consumption_expenditure_chain_linked_volume_rebased_us_dollars_ppp_converted,gross_fixed_capital_formation_chain_linked_volume_rebased_us_dollars_ppp_converted,exports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted,imports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted
ARG,2012-Q2,1107618.5,915325.7,186702.3,180076.4,171499.4
ARG,2012-Q3,1142744.4,951203.2,199927.2,195662.7,180845.6
ARG,2012-Q4,1161201.3,958620.1,206925.3,196690.2,189749.3
ARG,2013-Q1,1160208.3,953773.6,203194.7,189015.1,184344.4
ARG,2013-Q2,1167896.7,960162.6,205894.1,195952.2,192506.4
ARG,2013-Q3,1175616.2,989440.3999999999,203525.6,191639.6,189239.1
ARG,2013-Q4,1165261.9,992955.7,201956.5,177517.8,188913
ARG,2014-Q1,1147654.1,973685.5,197604.4,169910.4,180409.9
ARG,2014-Q2,1138901.1,935818.5,193957.8,177759.6,169504.9
ARG,2014-Q3,1129779.6,925049.2,186597.3,176893.9,161725.9
ARG,2014-Q4,1135334.8,941290.5,181382.6,176929.1,156688
ARG,2015-Q1,1151601.9,960401.1000000001,192719.2,163731.5,165449.8
ARG,2015-Q2,1181059.3,1003973.5,197343.2,176480.2,172992.5
ARG,2015-Q3,1178662.4,988213.5,199251.1,177957.3,181731.5
ARG,2015-Q4,1164659.4,984179.8999999999,196527.7,163840.9,179641.9
ARG,2016-Q1,1156069.1,982619.9,187634.4,184034.9,184084.6
ARG,2016-Q2,1136478.1,971587.1,183182.3,177619.3,185464.9
ARG,2016-Q3,1139395.7,972668.8,182929.9,176551.4,182360.3
ARG,2016-Q4,1146764.3,981077.5,186685.1,180069.3,188664.4
ARG,2017-Q1,1158063.2,1001947.7,194261.8,182856.1,198406.9
ARG,2017-Q2,1169403.6,1005743.8,204797.8,183572.4,208157.4
ARG,2017-Q3,1184486.5,1020086.7000000001,215505.4,184958.1,217800.8
ARG,2017-Q4,1195804.9,1031433,224940.7,185673.9,231618.5
ARG,2018-Q1,1189470.4,1025238.1,224872.8,194734.9,229902.2
ARG,2018-Q2,1139871.2,1014057.4,208623.9,169337.8,216743.9
ARG,2018-Q3,1136442.7,998002.3,189489.6,172312.3,197665
ARG,2018-Q4,1118753.2,933444.3,168284.4,205436.8,173484.3
ARG,2019-Q1,1122991,943383.7,169225.4,196150.8,172565.7
ARG,2019-Q2,1129095.6,946504.4,172562.9,196882.2,168298.8
ARG,2019-Q3,1128209,936682.1,169425.6,198803.4,169541.7
ARG,2019-Q4,1112511.7,898853.1,153836.9,222320.7,154484.1
ARG,2020-Q1,1063609.8,883575.1000000001,140539.6,187913.4,151418.5
ARG,2020-Q2,913139.6,771951,106740.9,167428.7,115779.8
ARG,2020-Q3,1010869.9,824325.4,153031.1,161924.1,131878.5
ARG,2020-Q4,1060378.2,862892.3999999999,177843.9,154920.6,151381.4
ARG,2021-Q1,1097320.9,886917,191970.2,170048.8,151702.8
ARG,2021-Q2,1100397.2,893672.6000000001,190033.4,179421.3,157850.8
ARG,2021-Q3,1122911.3,911922,187964.2,192645.2,159981
ARG,2021-Q4,1150052.6,950669.2999999999,204856.1,186891.7,183081.3
ARG,2022-Q1,1178279.9,968687.5,212933,184275,188263.4
ARG,2022-Q2,1201014.8,989789.5,223418.4,192963.9,197191.1
ARG,2022-Q3,1191469.5,992674.3999999999,213133.6,186836.2,196168.8
ARG,2022-Q4,1169086,987881.8999999999,206332.6,198152.3,185434.1
ARG,2023-Q1,1180214.2,1000613.3,211681.1,173452.5,194434.1
ARG,2023-Q2,1151362.8,1015664.3,220691.7,170070.8,204293.1
ARG,2023-Q3,1173650.8,998707.2,214807.3,171873.7,199485.4
ARG,2023-Q4,1146660.9,970520.4,191941.2,174573.7,183347.3
ARG,2024-Q1,1128282.1,949810.9,166964.2,199762.2,165542.5
ARG,2024-Q2,1118981.8,932552.5,154995,203529.6,160908.7
ARG,2024-Q3,1159718.8,976529.2,176342.1,204435.4,175550.2
ARG,2024-Q4,1182434.3,1003065.3,196284.4,218886.1,199931.2
AUS,1960-Q1,191073.9,130363.7,29689.7,14635.9,10577.6
AUS,1960-Q2,196294.8,130110.7,30285.6,13684.1,11397.8
AUS,1960-Q3,196716.5,131887.8,30378.3,12966.7,11995.7
AUS,1960-Q4,196362.4,132595.4,31744,14130.9,12394.4
AUS,1961-Q1,196951.8,131691.4,32142.8,15838.2,12153.8
AUS,1961-Q2,194785.2,131972.3,32553.2,18505.3,10634.9
AUS,1961-Q3,193380.3,133637.4,33223.3,16108.7,9510
AUS,1961-Q4,195600.6,133660,31662.8,18391,9384
AUS,1962-Q1,201073.1,137386.8,32305.1,17499.3,10440.1
AUS,1962-Q2,204942.7,138388.69999999998,31880.8,17759.8,11118.3
AUS,1962-Q3,206582.8,139523.80000000002,33401.8,15247,11544.4
AUS,1962-Q4,210287.1,141309.2,33436.6,18012.3,11892.6
AUS,1963-Q1,215153.9,144502.7,35071.2,17535.4,11819.3
AUS,1963-Q2,212374.5,145600.2,35231.2,17413.2,12206.5
AUS,1963-Q3,221092.3,147953,36114.6,18727.7,12467.7
AUS,1963-Q4,225807.6,150985.2,37188.1,20905.8,12543.3
AUS,1964-Q1,225418.6,152547.1,37371.2,19711.5,13439.1
AUS,1964-Q2,230998.2,154455.3,39314.2,20110.3,14346.3
AUS,1964-Q3,232412.4,157376.3,39063.8,18180.6,14932.8
AUS,1964-Q4,239012.5,159772.6,39673.6,20250.6,15851.5
AUS,1965-Q1,241055.6,161481.3,40369.2,19743.6,15732.4
AUS,1965-Q2,244829.8,163162.7,42103.5,21072.1,16353.2
AUS,1965-Q3,244093.6,166407.7,42808.4,20250.6,17391.1
AUS,1965-Q4,244694.6,167728.6,43401.9,20527.1,16857.3
AUS,1966-Q1,243995.7,167594.59999999998,44466.2,19142.5,15285.6
AUS,1966-Q2,247322.6,169457,43647.7,20475,15065.7
AUS,1966-Q3,254311.7,173097.5,45326.4,21220.4,15562.8
AUS,1966-Q4,255991.4,175528.3,45277.7,21156.3,16011.9
AUS,1967-Q1,265992.9,178485.8,46017.3,22404.7,17024.5
AUS,1967-Q2,265624.8,178825,46590,24432.5,17090.9
AUS,1967-Q3,270603.4,182485.3,47990.4,23021.9,16603
AUS,1967-Q4,272954.1,185142.9,48217.7,24436.6,17386.5
AUS,1968-Q1,270526.5,190791.6,49861.5,22242.4,19686.7
AUS,1968-Q2,280924,189793.40000000002,50649.9,23797.3,18506.8
AUS,1968-Q3,284637.6,191167.5,51085.8,23807.4,18616.7
AUS,1968-Q4,295258.8,194446.80000000002,52354,27161.7,18944.4
AUS,1969-Q1,293243.6,197816.3,52168.6,23530.8,18513.7
AUS,1969-Q2,299042.2,200660.9,53684.9,25095.8,18598.4
AUS,1969-Q3,303978.9,205097.8,53409,28239.8,19530.9
AUS,1969-Q4,310989,208893.8,54320.2,29532.3,20362.5
AUS,1970-Q1,317437.7,208726.3,53608.4,29019.3,20335
AUS,1970-Q2,323877,212167.40000000002,54818.7,29157.5,20671.8
AUS,1970-Q3,323199,215575.90000000002,54292.4,30846.8,20653.5
AUS,1970-Q4,324608.5,218123.5,55284.8,32357.6,21024.6
AUS,1971-Q1,328650.6,217897.2,57039.9,30726.5,20818.4
AUS,1971-Q2,330083.4,218456.5,56504.3,33235.3,20882.6
AUS,1971-Q3,340378.4,225189.2,58829.9,33193.2,20708.4
AUS,1971-Q4,339278.7,223720.9,56965.7,34682.1,19365.9
AUS,1972-Q1,335234.4,226130.8,56566.9,34752.2,19265.1
AUS,1972-Q2,342698.8,227807.1,57019.1,34058.9,17391.1
AUS,1972-Q3,340972.4,230192.4,58060.1,33277.4,17196.3
AUS,1972-Q4,344536.9,232175.7,58482.1,36942.4,18790.9
AUS,1973-Q1,353483,238451.80000000002,59803.7,35926.4,20738.2
AUS,1973-Q2,354149.3,240929.4,60054.1,33295.4,20974.2
AUS,1973-Q3,357695.1,243991.7,61034.9,33183.2,22896.4
AUS,1973-Q4,366624.9,244552.5,62989.5,34812.3,24232
AUS,1974-Q1,366736.8,251416.69999999998,63126.3,31193.4,26701.7
AUS,1974-Q2,359293.3,252051.5,59335.4,31824.6,27441.7
AUS,1974-Q3,363542.7,258467.3,57712.3,34644,29510.5
AUS,1974-Q4,363962.1,258932.2,57137.3,36275.1,27707.5
AUS,1975-Q1,365352.9,264499.1,57573.2,35700,23746.3
AUS,1975-Q2,376908.3,267916.2,58266.5,37208.9,22912.4
AUS,1975-Q3,372733.5,269131.9,58973.7,36321.2,23267.5
AUS,1975-Q4,367130.5,264421.1,58523.8,37110.7,24413
AUS,1976-Q1,383396.6,270538.6,59766.6,37277,25274.4
AUS,1976-Q2,384538.1,273492.8,61347.9,38739.8,25826.6
AUS,1976-Q3,387662.3,278409,60258.2,41715.5,27088.9
AUS,1976-Q4,391000.7,279581.2,63293.2,40895.9,27066
AUS,1977-Q1,388897,281346.5,62637,38671.7,27153.1
AUS,1977-Q2,394406.8,282026.8,61702.7,38840,26878.1
AUS,1977-Q3,392715.4,283844.4,63657.2,39896,25831.1
AUS,1977-Q4,391487.7,283892.1,62695,42278.5,24756.7
AUS,1978-Q1,394215.8,287310.2,64294.8,40569.3,25776.2
AUS,1978-Q2,397535.6,291255,66752.6,40986.1,26754.4
AUS,1978-Q3,403578.9,293140.3,68127.5,40990.1,27663.9
AUS,1978-Q4,406854.5,290658.5,70541.2,43244.4,28401.7
AUS,1979-Q1,418051.1,292531.4,71700.5,45719.1,27043.1
AUS,1979-Q2,411318.2,292620.8,72192,45396.5,28328.3
AUS,1979-Q3,415138.9,294180.7,70545.8,45081.9,27373
AUS,1979-Q4,423129.8,296785.9,72386.8,49730.7,28525.4
AUS,1980-Q1,425121.8,298495.4,73024.4,47426.3,28087.8
AUS,1980-Q2,426172.5,301858.80000000005,74723.9,45502.7,27565.4
AUS,1980-Q3,428483.5,302086.80000000005,80137.9,44623,30809.5
AUS,1980-Q4,435822.1,309000.3,80620.1,45240.2,30213.8
AUS,1981-Q1,437459.9,308644.1,83242.5,43168.2,28727
AUS,1981-Q2,444272,314472.8,83854.6,45596.9,32349.1
AUS,1981-Q3,453239.1,322221.8,87455.4,43969.8,32424.7
AUS,1981-Q4,451382.3,319100.1,89426.2,42396.8,33359.4
AUS,1982-Q1,447771.2,318595.5,88811.8,47406.3,35125.8
AUS,1982-Q2,451759.7,329762.9,85934.4,49071.5,35311.3
AUS,1982-Q3,448770.7,325330.1,83685.3,47520.5,32905.8
AUS,1982-Q4,441548.6,330922.3,81102.4,47428.3,31851.9
AUS,1983-Q1,437285.2,333312.9,76826.9,43775.4,30108.5
AUS,1983-Q2,436392.9,331457.8,76713.3,45069.9,29858.7
AUS,1983-Q3,448533.1,333233.5,80221.3,45370.4,30021.4
AUS,1983-Q4,456081.3,335115.4,82317.3,49604.5,31396
AUS,1984-Q1,467226.7,339662.1,83571.7,50137.5,34802.7
AUS,1984-Q2,472673.6,338867.1,88392.1,52708.4,35973.4
AUS,1984-Q3,477041.8,341512.30000000005,86840.9,55694.1,38995.3
AUS,1984-Q4,479928.3,339364.9,89029.7,54796.4,38926.6
AUS,1985-Q1,487024.6,348938.6,95051.1,57355.3,38170.5
AUS,1985-Q2,497941.7,352581.80000000005,95725.8,60515.3,38099.5
AUS,1985-Q3,504336.7,357929.3,99648.9,58645.7,39045.7
AUS,1985-Q4,502892.3,362678.4,96521.1,60076.4,38505
AUS,1986-Q1,506347.3,360077.7,95895.1,58539.5,38039.9
AUS,1986-Q2,505450.3,367864.9,96324,59741.8,38234.7
AUS,1986-Q3,506771.3,371334.9,94355.5,62200.5,36028.4
AUS,1986-Q4,515107,369125,99104,65719.2,37009
AUS,1987-Q1,520239.4,369929.2,95459.2,64260.4,35815.4
AUS,1987-Q2,528533.2,372921.8,100972.8,68578.6,37700.9
AUS,1987-Q3,538045.4,377883.39999999997,99672.1,69165.8,38644.8
AUS,1987-Q4,548911.2,383283,105705.1,72640.4,40505.1
AUS,1988-Q1,551212.9,386966.30000000005,106558.3,73399.8,41698.7
AUS,1988-Q2,551776.7,385172.1,107156.5,67594.8,42156.9
AUS,1988-Q3,556177.6,390737.9,108621.9,69504.4,45297.9
AUS,1988-Q4,565310,393820.5,115134.8,71518.2,50177.7
AUS,1989-Q1,570537.9,402006.9,119099.7,70550.4,53293.5
AUS,1989-Q2,582869.1,410566.60000000003,121172.5,74157.3,54794.1
AUS,1989-Q3,587829.1,407700.9,121327.8,73596.2,55305
AUS,1989-Q4,586251.8,411602.4,117676,72714.5,53918.9
AUS,1990-Q1,590645.7,417598.6,116901.6,76281.3,54771.2
AUS,1990-Q2,591447.1,421816.8,112331.7,76481.7,51004.8
AUS,1990-Q3,588369.6,419664.5,111893.4,79443.3,52713.9
AUS,1990-Q4,591610.2,419034.80000000005,107910.1,80743.8,50425.1
AUS,1991-Q1,584178.4,422948.6,103458.4,84142.3,49650.8
AUS,1991-Q2,582957.6,423549.4,100583.3,88408.4,49921.1
AUS,1991-Q3,585620.5,431959.4,101517.7,90239.9,51233.9
AUS,1991-Q4,586030.5,429511.6,101524.6,90600.6,52677.2
AUS,1992-Q1,590673.6,430436.4,101580.3,90314,52086.1
AUS,1992-Q2,594951,434120.10000000003,102282.8,93045.2,53804.4
AUS,1992-Q3,600719.4,439072.5,103126.8,94980.9,55167.5
AUS,1992-Q4,613299.8,441270.69999999995,111867.9,97746.2,56372.6
AUS,1993-Q1,617551.6,439298.2,108897.8,98167,55506.6
AUS,1993-Q2,621078.8,442352.1,110010.7,100295.1,56592.5
AUS,1993-Q3,621828.9,441882.3,108860.7,103471.1,58161.9
AUS,1993-Q4,633204.9,448489.7,112127.6,105649.3,58391
AUS,1994-Q1,643765.5,451856,115658.9,108516.7,60624.7
AUS,1994-Q2,651437.3,452487.60000000003,122392.1,110670.8,63236.5
AUS,1994-Q3,656404.2,461996.3,127903.4,109831.2,67346.5
AUS,1994-Q4,663645,464242.5,131307.1,110931.3,70111.8
AUS,1995-Q1,663118.5,469005.7,126841.5,113546.3,71617
AUS,1995-Q2,666277.6,478164.30000000005,123597.7,112903.1,70627.3
AUS,1995-Q3,681674.6,476535,132482.6,118716.1,70418.8
AUS,1995-Q4,681565.1,484266.69999999995,124975,118640,71633
AUS,1996-Q1,692095.5,490038.5,129475.4,126048.1,74645.7
AUS,1996-Q2,696526.6,490343.8,136665.4,128346.5,76111.9
AUS,1996-Q3,702082.9,492498.6,129964.6,126895.7,76478.5
AUS,1996-Q4,708785.5,493783.1,134889.3,131264.1,79830.3
AUS,1997-Q1,713759.5,499310.6,144319.1,135486.1,80476.3
AUS,1997-Q2,735050.7,507158,149181.2,151628.8,84998.8
AUS,1997-Q3,736143.4,516082.4,148826.5,144605.5,86847.6
AUS,1997-Q4,746769.2,522005.1,155184.1,141960.4,86781.2
AUS,1998-Q1,751323.8,521053.9,156257.6,139307.4,90229.1
AUS,1998-Q2,759186.6,529750.2,152448.1,144371,90898.1
AUS,1998-Q3,773325.6,540929.7,156844.2,144074.5,91308.2
AUS,1998-Q4,785309.7,546694.9,162478.4,146813.7,91340.3
AUS,1999-Q1,791154.9,554239.8999999999,159202.2,144240.8,94149.1
AUS,1999-Q2,794146.3,559259.4,161395.6,146034.2,96096.4
AUS,1999-Q3,802927,562575.2,168849.9,151614.8,100877.8
AUS,1999-Q4,816588.4,570488.2,170690.9,159345.5,102467.7
AUS,2000-Q1,819784.8,575664.3,173243.7,162391.3,107191.8
AUS,2000-Q2,827757.1,578837.8,178931.2,165298.9,107283.4
AUS,2000-Q3,830079.8,582886.9,169369.3,174566.5,106930.6
AUS,2000-Q4,826811.2,585268.1000000001,153442.8,169551,103810.3
AUS,2001-Q1,834608.8,590277.1,156023.4,173528.6,102387.5
AUS,2001-Q2,841924.1,596112.3999999999,157931.6,176199.7,100616.6
AUS,2001-Q3,851555.1,598160.5,164208.1,173582.7,100094.2
AUS,2001-Q4,861715,602131,170820.7,168837.6,102334.8
AUS,2002-Q1,868431.6,608466.3,175142.6,173037.6,106424.3
AUS,2002-Q2,883386,617233.8,184699.9,174981.3,110472.5
AUS,2002-Q3,885566.7,623723.7,187561,174111.7,112275.5
AUS,2002-Q4,893007.8,626525.6,198611.5,175802.9,120365.1
AUS,2003-Q1,895064.9,632753.8,199712.8,175742.8,120268.9
AUS,2003-Q2,898564.1,636874.5,196313.8,168262.5,121758
AUS,2003-Q3,913889,645825.1,203290.4,170058,125600.1
AUS,2003-Q4,929418.9,658505.8,214456.8,175484.3,131384.9
AUS,2004-Q1,936354.4,668190.5,216232.9,176862.9,139586.7
AUS,2004-Q2,943252.7,675433.4,216545.9,180740.3,142170.9
AUS,2004-Q3,949638.5,680977.8,217491.9,178429.9,144258
AUS,2004-Q4,956911.8,688705.2,224897.5,180155.2,150581.2
AUS,2005-Q1,964770,688025,224076.7,184168.8,153323.6
AUS,2005-Q2,969070.6,699879.7,235896.9,184715.9,157921.6
AUS,2005-Q3,979587,702112.7,240580.5,183080.8,157564.2
AUS,2005-Q4,987843.5,707387.1,246258.8,188236.6,161765.9
AUS,2006-Q1,988502.8,713454.3999999999,244524.5,187106.4,165573.6
AUS,2006-Q2,990872.1,724750.2,245658.3,190783.4,172460.4
AUS,2006-Q3,1006050.2,731694.3999999999,247724.1,192695.1,169314.8
AUS,2006-Q4,1018691.2,740193.6000000001,247981.5,194739,178206.2
AUS,2007-Q1,1032581,753197.3,257448.4,195694.8,187173.2
AUS,2007-Q2,1039046,756905,268025.8,197221.7,190797.6
AUS,2007-Q3,1051558.9,769360.1000000001,267351.1,198868.8,194270.8
AUS,2007-Q4,1055405.2,778246.9,274197.9,198866.8,202665.1
AUS,2008-Q1,1067116.7,783698.1000000001,281005.4,205854.1,211957.4
AUS,2008-Q2,1070741.7,781966.7,288100.3,208122.5,221696.5
AUS,2008-Q3,1078322.6,783593.2,289421.9,208068.4,221600.3
AUS,2008-Q4,1073726.1,785418.7,286141.1,205491.5,204094.6
AUS,2009-Q1,1084529,788120.7,277131,210839.6,186683
AUS,2009-Q2,1091224.6,799074.1,274886.6,206968.3,187379.4
AUS,2009-Q3,1095084.9,801205.5,276421.5,210667.3,195929.5
AUS,2009-Q4,1103879.6,809280.8999999999,291107.5,214963.5,211746.6
AUS,2010-Q1,1108788.3,814432.3999999999,290152.2,220341.7,219710.2
AUS,2010-Q2,1115693.6,825917.2,289748.8,224551.8,228296.9
AUS,2010-Q3,1123537.7,831033.2000000001,291951.5,221253.5,224965.7
AUS,2010-Q4,1132933.5,840643.2,292484.8,224609.9,236182.5
AUS,2011-Q1,1129627.6,847860.4,302464,213186.1,237761
AUS,2011-Q2,1143277.4,854364.3,301882.1,218887,246102.6
AUS,2011-Q3,1159212.7,860703.2,323883.3,225635.8,259310.3
AUS,2011-Q4,1172091.3,864817.6,323370.9,230713.5,259149.9
AUS,2012-Q1,1184289.7,875142.6,334286.8,227000.4,267431.9
AUS,2012-Q2,1192802.5,880299,345188.9,234999.7,265979.4
AUS,2012-Q3,1200101.5,879484.1,345872.9,237458.3,265654.1
AUS,2012-Q4,1205403.9,880865.8999999999,346798,239794.8,269212
AUS,2013-Q1,1211640.6,887757,339559.3,239089.5,257516.4
AUS,2013-Q2,1216234.8,890002.9,332916.5,250729.6,267159.3
AUS,2013-Q3,1226226.9,897176.2,338170.5,250186.6,261571.5
AUS,2013-Q4,1235788.1,902820.3999999999,335327.9,254025.9,258022.7
AUS,2014-Q1,1245444.7,905302.2,334792.3,259680.7,251420
AUS,2014-Q2,1251648.8,908223.1,331131.2,261929,258451.2
AUS,2014-Q3,1256643.7,916969,326083.6,267994.5,261308
AUS,2014-Q4,1261263.5,922572.6,323727.9,273719.4,258508.4
AUS,2015-Q1,1273520.1,928901.8,322021.4,281794.8,262045.7
AUS,2015-Q2,1275011.2,935302.8999999999,318272.3,273000.1,264384.9
AUS,2015-Q3,1287421.5,944615,313125,285329.5,263977.1
AUS,2015-Q4,1295405.5,950210.5,311003.4,289064.7,263150
AUS,2016-Q1,1307322,959805.5,312109.4,295623.1,258052.5
AUS,2016-Q2,1315904.6,968219.2,308455.3,296805.4,262162.6
AUS,2016-Q3,1315767.2,976465.8,302714.4,301149.7,267720.6
AUS,2016-Q4,1331094.4,980734.8999999999,312533.7,312831.9,271922.3
AUS,2017-Q1,1335313.5,988607.5,313850.7,304323.7,283244.5
AUS,2017-Q2,1343269.5,995739.7,316000,312683.6,282614.4
AUS,2017-Q3,1355980.4,1000595.3,325200.2,318130,289421
AUS,2017-Q4,1361348.1,1012217.5,324989.2,311992.3,291592.9
AUS,2018-Q1,1375503.4,1020836.6,329480.4,323852.9,302511.9
AUS,2018-Q2,1385672.6,1026623.2,327057.4,327808.5,303856.7
AUS,2018-Q3,1390891.2,1030430.1,329350.5,329996.6,298058.1
AUS,2018-Q4,1394322.9,1037154.8,323950.5,329904.5,299171.6
AUS,2019-Q1,1404622.5,1043025.3999999999,322455,331974.4,297748.8
AUS,2019-Q2,1408867.3,1054429.9,315918.9,340162,298456.8
AUS,2019-Q3,1417119.1,1056255.1,321400,340875.3,297531.2
AUS,2019-Q4,1425275.4,1062945,320746.2,339412.6,296420.1
AUS,2020-Q1,1422421.5,1059848,319457.1,327353.6,279782.7
AUS,2020-Q2,1326409.3,970538.1000000001,301738.3,301642.6,241321.3
AUS,2020-Q3,1372628.5,1026952.3,307354,289198.9,256057
AUS,2020-Q4,1418878,1062498.4,322239.4,304618.3,270036.8
AUS,2021-Q1,1450177.8,1073930.7,338527.6,307449.7,274582.2
AUS,2021-Q2,1461756.5,1087365.2000000002,346044.5,296635.1,280092
AUS,2021-Q3,1436816.9,1062013.9,348594.9,296793.4,270394.2
AUS,2021-Q4,1488515.6,1111921.8,350153,294392.8,277180.2
AUS,2022-Q1,1503204.4,1139681.1,353039.7,295366.7,302429.4
AUS,2022-Q2,1517476.3,1153439.4,353682,307341.5,310058.4
AUS,2022-Q3,1524668.1,1160610.5,354115.5,308110.9,323451.7
AUS,2022-Q4,1537635.3,1171147.4,353556.7,315721.4,316702.4
AUS,2023-Q1,1545342,1177659.6,361031.9,320123.8,326567.5
AUS,2023-Q2,1551462.1,1184713.3,371760.1,330110.8,334288.2
AUS,2023-Q3,1557305.1,1186784.2000000002,374470.5,333325,342366.3
AUS,2023-Q4,1558444.3,1189112.5,374676.9,326846.6,333896.4
AUS,2024-Q1,1562470,1199612.9,372527.6,331784,352636.9
AUS,2024-Q2,1565475.4,1202938.7999999998,375379.4,330287.2,354057.3
