period,variable,label,w_mean,w_sd,w_n,nw_mean,nw_sd,nw_n,t_stat,p_value,stars
2000-2021,population,Population,85113992.12698413,50980840.30509604,504,66781325.14419272,198389115.58465505,3487,4.520872652602462,6.39504317965001e-6,***
2000-2021,gdp_yoy_log_4q,GDP growth (d4 log),1.187451630950506,3.849375264445102,504,2.675620746633268,4.147784672860242,3487,-8.031382318474312,4.22433988457024e-15,***
2000-2021,private_consumption_yoy_log_4q,Private cons. growth (d4 log),1.0632620587976036,4.086881117737061,504,2.7509221073725727,4.672483063200283,3471,-8.499080729769526,1.1257484774375623e-16,***
2000-2021,government_consumption_yoy_log_4q,Gov. cons. growth (d4 log),1.6159464461476618,2.7987591355512254,504,2.380891844231115,4.3132213764092295,3471,-5.2910386088424275,1.5304603961491388e-7,***
2000-2021,capital_formation_yoy_log_4q,Investment growth (d4 log),1.20434003589199,6.873907644277862,504,3.0818193492678985,12.36968417663092,3471,-5.057059056963179,5.01927031519261e-7,***
2000-2021,exports_yoy_log_4q,Exports growth (d4 log),2.5648679530505842,7.740539147383528,504,4.2752207830457145,8.739691307502845,3471,-4.556703428488473,6.126423382371306e-6,***
2000-2021,imports_yoy_log_4q,Imports growth (d4 log),2.5827040782834905,8.698613637265325,504,4.626770997623084,10.718414017454537,3471,-4.775269874830854,2.1617175870370322e-6,***
2000-2021,_counts,Counts,6,NA,504,42,NA,3487,NA,NA,
Full sample,gdp,GDP (millions PPP USD),2300130.0932046333,1032595.994232449,1295,1065214.8496184247,2505311.624784651,7338,30.14036380963544,5.160576337058383e-182,***
Full sample,private_consumption,Private consumption,1292055.3525868726,578723.447749082,1295,630471.6659906823,1622045.9801168963,7298,26.588278410895445,1.1590479246745579e-146,***
Full sample,government_consumption,Government consumption,486149.10015444015,220265.35301538726,1295,187560.1828035078,411036.8150301626,7298,38.351586766805724,9.747697004510667e-265,***
Full sample,capital_formation,Gross fixed capital formation,461278.6518146718,209168.75046666397,1295,241418.51071526445,538705.0001829669,7298,25.636335685779414,3.634579317975569e-136,***
Full sample,exports,Exports,500558.762007722,413982.2921257537,1295,202412.67828172102,316291.38375861524,7298,24.67063123819273,7.156514512527125e-114,***
Full sample,imports,Imports,465462.8187644788,363530.81297975144,1295,205108.12296519594,353878.244005369,7298,23.845705417518676,4.1031109117508562e-109,***
Full sample,population,Population,68502173.00386101,37527970.74638141,1295,49958925.98634505,149913838.71009383,7338,9.102262141029739,1.1047496295433253e-19,***
Full sample,gdp_yoy_log_4q,GDP growth (d4 log),2.378974816481564,3.2176996721281066,1295,3.2427165760092054,3.8877645274448556,7338,-8.61383180930368,1.3975942361663905e-17,***
Full sample,private_consumption_yoy_log_4q,Private cons. growth (d4 log),2.423903905729159,3.3685806353624375,1295,3.1794684466352026,4.397858340140276,7294,-7.072146020059873,2.0518966932860503e-12,***
Full sample,government_consumption_yoy_log_4q,Gov. cons. growth (d4 log),2.3868567170034423,2.584653237713286,1295,3.0788441148461216,4.840477493231774,7294,-7.5633159824163645,5.1081944885739486e-14,***
Full sample,capital_formation_yoy_log_4q,Investment growth (d4 log),2.319777662937927,6.372391596995049,1295,3.8070174452520797,11.742509547954281,7294,-6.633836833821649,3.840197877921509e-11,***
Full sample,exports_yoy_log_4q,Exports growth (d4 log),4.831273112090675,7.05505900493263,1295,5.59488501578409,8.884227713235221,7294,-3.4406510179566,5.916854653434998e-4,***
Full sample,imports_yoy_log_4q,Imports growth (d4 log),4.828685338663882,8.478361998318368,1295,5.507688243826141,11.01060179801122,7294,-2.5282343139121495,0.011534804084487739,**
Full sample,_counts,Counts,6,NA,1295,42,NA,7338,NA,NA,
