country,quarter,gross_domestic_product_chain_linked_volume_rebased_us_dollars_ppp_converted,final_consumption_expenditure_chain_linked_volume_rebased_us_dollars_ppp_converted,gross_fixed_capital_formation_chain_linked_volume_rebased_us_dollars_ppp_converted,exports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted,imports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted,population,host,rank1,rank2,rank3,rank4,host_won,host_top4,year,qtr,q_index,gross_domestic_product_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,final_consumption_expenditure_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,gross_fixed_capital_formation_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,exports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,imports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,population_yoy_log_4q,gross_domestic_product_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,final_consumption_expenditure_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,gross_fixed_capital_formation_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,exports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,imports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,population_yoy_pct
ARG,2001-Q2,770100.2,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0,2001,2,8006,-0.6188961976853591,NA,NA,NA,NA,1.0979467275792132,-0.6169849800182314,NA,NA,NA,NA,1.1039962826877137
ARG,2001-Q3,734322.3,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0,2001,3,8007,-5.120642821118615,NA,NA,NA,NA,1.0979467275792132,-4.991747354812759,NA,NA,NA,NA,1.1039962826877137
ARG,2001-Q4,692503.6,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0,2001,4,8008,-11.290488446454106,NA,NA,NA,NA,1.0979467275792132,-10.676438334042338,NA,NA,NA,NA,1.1039962826877137
ARG,2002-Q1,658356.1,NA,NA,NA,NA,38029349,0,0,0,0,0,0,0,2002,1,8009,-16.510746393170628,NA,NA,NA,NA,1.069413183353518,-15.219740900742153,NA,NA,NA,NA,1.075151844560085
ARG,2002-Q2,661147.4,NA,NA,NA,NA,38029349,0,0,0,0,0,0,0,2002,2,8010,-15.254382579838577,NA,NA,NA,NA,1.069413183353518,-14.147873224808915,NA,NA,NA,NA,1.075151844560085
ARG,2002-Q3,661640,NA,NA,NA,NA,38029349,0,0,0,0,0,0,0,2002,3,8011,-10.422643168138102,NA,NA,NA,NA,1.069413183353518,-9.897874543643848,NA,NA,NA,NA,1.075151844560085
ARG,2002-Q4,668382.4,NA,NA,NA,NA,38029349,0,0,0,0,0,0,0,2002,4,8012,-3.5452971767380603,NA,NA,NA,NA,1.069413183353518,-3.4831876686272745,NA,NA,NA,NA,1.075151844560085
ARG,2003-Q1,693079.3,NA,NA,NA,NA,38424282,0,0,0,0,0,0,0,2003,1,8013,5.139845231007811,NA,NA,NA,NA,1.0331399769647476,5.274227731770087,NA,NA,NA,NA,1.038495294778774
ARG,2003-Q2,715010.6,NA,NA,NA,NA,38424282,0,0,0,0,0,0,0,2003,2,8014,7.83205573056236,NA,NA,NA,NA,1.0331399769647476,8.146927598898523,NA,NA,NA,NA,1.038495294778774
ARG,2003-Q3,732482.8,NA,NA,NA,NA,38424282,0,0,0,0,0,0,0,2003,3,8015,10.171825801284484,NA,NA,NA,NA,1.0331399769647476,10.70715192551841,NA,NA,NA,NA,1.038495294778774
ARG,2003-Q4,746227.9,NA,NA,NA,NA,38424282,0,0,0,0,0,0,0,2003,4,8016,11.017058469136032,NA,NA,NA,NA,1.0331399769647476,11.646850665128229,NA,NA,NA,NA,1.038495294778774
ARG,2004-Q1,771366.8,564955.4,103872,139912.6,76147.9,38815916,0,0,0,0,0,0,0,2004,1,8017,10.70195835591594,NA,NA,NA,NA,1.014076520462481,11.295604990655471,NA,NA,NA,NA,1.0192357010080144
ARG,2004-Q2,761542.3,567668.7000000001,107177,144501.5,80021.9,38815916,0,0,0,0,0,0,0,2004,2,8018,6.304835129354203,NA,NA,NA,NA,1.014076520462481,6.507833590159362,NA,NA,NA,NA,1.0192357010080144
ARG,2004-Q3,800231.3,590088.6,108487.4,147987,81723.6,38815916,0,0,0,0,0,0,0,2004,3,8019,8.846095149248434,NA,NA,NA,NA,1.014076520462481,9.24915916114344,NA,NA,NA,NA,1.0192357010080144
ARG,2004-Q4,810907.8,603706.7,110475.1,151372.6,86516.2,38815916,0,0,0,0,0,0,0,2004,4,8020,8.312331131824813,NA,NA,NA,NA,1.014076520462481,8.667579971212547,NA,NA,NA,NA,1.0192357010080144
ARG,2005-Q1,834406,599099.7,118762,162721,88350.6,39216789,0,0,0,0,0,0,0,2005,1,8021,7.855608823961191,5.868123836105532,13.39621185487303,15.10191358598707,14.863548810357052,1.0274577219171022,8.172402545714942,6.043716017228951,14.334950708564389,16.30189132358344,16.024998719597015,1.0327541928934592
ARG,2005-Q2,853980.9,644293.4,122688.9,167055.1,97632.5,39216789,0,0,0,0,0,0,0,2005,2,8022,11.456310914640078,12.661623851439074,13.517020969875304,14.503380999679829,19.891008258167275,1.0274577219171022,12.138340838059802,13.498137205732853,14.473161219291452,15.607865662294174,22.00722552201335,1.0327541928934592
ARG,2005-Q3,858904.4,622430.4,123023.7,167255.4,92345.7,39216789,0,0,0,0,0,0,0,2005,3,8023,7.075681271123635,5.335911974207264,12.574298253351834,12.239755341433067,12.219632172622674,1.0274577219171022,7.33201763040261,5.480837962299234,13.399067541484078,13.020332867076156,12.997591882883274,1.0327541928934592
ARG,2005-Q4,875057.4,642778.9,133600.6,161971.9,97493.9,39216789,0,0,0,0,0,0,0,2005,4,8024,7.61351233598635,6.271232421619644,19.006459591186346,6.767851631488675,11.94581323045103,1.0274577219171022,7.910837705593643,6.4720500865735,20.932771276061303,7.0021258801130415,12.688606295699522,1.0327541928934592
ARG,2006-Q1,898432.4,657748.3999999999,135873.4,172524.4,100480.1,39622115,0,0,0,0,0,0,0,2006,1,8025,7.393137243142789,9.339445904365997,13.460207940220492,5.850159793634724,12.864670802820122,1.0282476053458112,7.6732909399021665,9.789472436724632,14.408144019130686,6.024667989995147,13.728825837062786,1.0335522370278794
ARG,2006-Q2,909242.1,686284,140460.2,170397.2,102703.4,39622115,0,0,0,0,0,0,0,2006,2,8026,6.270256715095357,6.313732380621673,13.52722915457587,1.9808484217083588,5.063479272802951,1.0282476053458112,6.471011236902369,6.5173102813097294,14.484847447487104,2.000597407681659,5.193864747906685,1.0335522370278794
ARG,2006-Q3,935010.6,702249.1,144903.4,171923.8,104169,39622115,0,0,0,0,0,0,0,2006,3,8027,8.49002425322336,12.065636952960546,16.369029377132094,2.752936991120336,12.04754366886842,1.0282476053458112,8.860846445774406,12.823714908526318,17.784947128073703,2.7911804342340973,12.803303239890983,1.0335522370278794
ARG,2006-Q4,955065.2,704255.2999999999,148923.8,180806.5,109780.1,39622115,0,0,0,0,0,0,0,2006,4,8028,8.749012619556495,9.134012428017437,10.858001362467284,11.000453524238551,11.868946209004072,1.0282476053458112,9.143148780868549,9.56415962004975,11.469409568519897,11.628313306196937,12.602019203252723,1.0335522370278794
ARG,2007-Q1,977885.3,727073.7999999999,162108.9,180198.4,117040.8,40016763,0,0,0,0,0,0,0,2007,1,8029,8.474091610544399,10.0205498066531,17.654476177139067,4.35197903677409,15.256289401617806,0.9911019350667516,8.843503417730702,10.539805189948016,19.308783028907794,4.448066476394064,16.48157197295783,0.9960296162887738
ARG,2007-Q2,998201.8,742911.1000000001,169416.4,181807.9,119914.2,40016763,0,0,0,0,0,0,0,2007,2,8030,9.334406492988911,7.928485126878471,18.743541518779416,6.481845280937293,15.49312645267502,0.9911019350667516,9.783939832966391,8.251263325387171,20.615234778250336,6.696530224675046,16.75777043408495,0.9960296162887738
ARG,2007-Q3,1011724.4,758659.2,175195.2,189904.6,128448.9,40016763,0,0,0,0,0,0,0,2007,3,8031,7.885361461968365,7.726448031325361,18.983346735710786,9.947048540642632,20.951657961831316,0.9911019350667516,8.204591477358658,8.032776403700614,20.904823489303915,10.458586885585364,23.3081818967255,0.9960296162887738
ARG,2007-Q4,1043019.3,771639,180056.4,200537.3,133654.7,40016763,0,0,0,0,0,0,0,2007,4,8032,8.809534874245273,9.1375891612973,18.983536940980805,10.357286571771596,19.678033441214993,0.9911019350667516,9.209224668640426,9.568078507893386,20.90505345686855,10.91266077270452,21.747657362308836,0.9960296162887738
ARG,2008-Q1,1053422.2,799424.1000000001,193875.7,193644.5,144619.4,40424148,0,0,0,0,0,0,0,2008,1,8033,7.440699844939047,9.486360798468318,17.894890044955503,7.196553769016667,21.158287197593495,1.0128887847741908,7.724515339375682,9.950888066658448,19.59596296070112,7.461830959653359,23.563236068106153,1.0180358666191935
ARG,2008-Q2,1058628.4,812986.3,198354.9,174476.8,149943.1,40424148,0,0,0,0,0,0,0,2008,2,8034,5.877392667018633,9.013787074549208,15.769826065102954,-4.11588536304226,22.34794017501951,1.0128887847741908,6.053545485491996,9.43251487291008,17.081286109255057,-4.032333028432767,25.04198835500717,1.0180358666191935
ARG,2008-Q3,1065591.8,801873.2,187151.8,207814.9,143127.2,40424148,0,0,0,0,0,0,0,2008,3,8035,5.187412381881806,5.539782592657616,6.601927139099395,9.012593885539566,10.82025854936255,1.0128887847741908,5.32431559424682,5.696101754252769,6.824730357909337,9.431209143959652,11.42734581611833,1.0180358666191935
ARG,2008-Q4,1016728.5,792013.2,167112.7,182079.1,129052.3,40424148,0,0,0,0,0,0,0,2008,4,8036,-2.5529560388008576,2.606123426446949,-7.460170003781741,-9.655905631349349,-3.5041859891011384,1.0128887847741908,-2.5206436736118,2.6403797630757397,-7.188691987621643,-9.20437245340392,-3.443500303393754,1.0180358666191935
ARG,2009-Q1,980230.6,764508.6000000001,144605.2,180484.8,113995.5,40854831,0,0,0,0,0,0,0,2009,1,8037,-7.201153133583027,-4.465831894518324,-29.320996171345826,-7.037744010096425,-23.79464900032584,1.0597747073248345,-6.94798343911871,-4.36758161281352,-25.413447894707797,-6.7958036505038955,-21.175513105433986,1.065410209758788
ARG,2009-Q2,956796.1,739970.4,136542.3,172372.5,107263.8,40854831,0,0,0,0,0,0,0,2009,2,8038,-10.113907984880832,-9.410407283912292,-37.34233937327254,-1.2133948769220029,-33.496466793848256,1.0597747073248345,-9.619267724160808,-8.981196854116735,-31.16262819824467,-1.206062926417717,-28.463663883166348,1.065410209758788
ARG,2009-Q3,994489,797150.6,144145.2,160647.7,115069.3,40854831,0,0,0,0,0,0,0,2009,3,8039,-6.905656716305586,-0.5906871093969812,-26.109892737494174,-25.743401103413,-21.819918980621544,1.0597747073248345,-6.672611407107299,-0.5889459829808485,-22.979527848516547,-22.696736374533288,-19.603471597292486,1.065410209758788
ARG,2009-Q4,1014610.3,790559.6,152697.2,173657.8,126039.7,40854831,0,0,0,0,0,0,0,2009,4,8040,-0.2085521891023845,-0.183700921534502,-9.021155965834817,-4.735451192381568,-2.362081186572418,1.0597747073248345,-0.2083348701251042,-0.18353229466376852,-8.626214524689024,-4.625077782128761,-2.334402408945835,1.065410209758788
ARG,2010-Q1,1045985.7,821693.3,164958.5,178892.7,138157.6,41288694,0,0,0,0,0,0,0,2010,1,8041,6.492712329638728,7.213393658815193,13.168665676327684,-0.8860378937534108,19.22360885924963,1.0563633215628698,6.7081256186044325,7.479928937359226,14.075081670645307,-0.8821241456344109,21.195661232241637,1.061962537551553
ARG,2010-Q2,1092263.9,850055.8,179906.2,205083.6,155050.5,41288694,0,0,0,0,0,0,0,2010,2,8042,13.241748667372732,13.869180899031797,27.580114722463374,17.375986814158928,36.845964944811094,1.0563633215628698,14.158481624245734,14.87700048542482,31.75858323757548,18.976982987425497,44.55063124744787,1.061962537551553
ARG,2010-Q3,1096895,855197.3,186518.6,204890.7,160614.2,41288694,0,0,0,0,0,0,0,2010,3,8043,9.80097027079676,7.02885830151132,25.77098411317031,24.326289759910935,33.347066047167395,1.0563633215628698,10.297348688622998,7.281773356251642,29.39633092187599,27.54038806655805,39.58040937070098,1.061962537551553
ARG,2010-Q4,1110542.4,878821,198355.5,193790.1,171320,41288694,0,0,0,0,0,0,0,2010,4,8044,9.034394674014123,10.58401873202044,26.160399988945215,10.968891844084006,30.693621605769295,1.0563633215628698,9.455068611071638,11.164420747025282,29.90120316548044,11.593087094273912,35.925426671120285,1.061962537551553
ARG,2011-Q1,1136967.8,900964.8,209003.3,199032.8,180960.3,41730660,0,0,0,0,0,0,0,2011,1,8045,8.340519980548144,9.20989780661543,23.665611420001653,10.668345049991146,26.98826076676948,1.0647400974978185,8.698216428771444,9.647334352123838,26.70053377061503,11.258201145155722,30.981067997706944,1.0704286262965823
ARG,2011-Q2,1150885.9,916047.7,213821.3,199141.4,189993.2,41730660,0,0,0,0,0,0,0,2011,2,8046,5.227947884296036,7.476644316560943,17.270501549362827,-2.9402575721432456,20.323741173888088,1.0647400974978185,5.367017988967682,7.76324330708642,18.85154597229,-2.8974525510572335,22.536334936036972,1.0704286262965823
ARG,2011-Q3,1159923.1,939463.5,220094.7,207962.4,197971.5,41730660,0,0,0,0,0,0,0,2011,3,8047,5.587024869324431,9.397676509682109,16.55269422643766,1.488062790917688,20.911786490546017,1.0647400974978185,5.746046795727944,9.853422128437494,18.00147545606712,1.4991895679013156,23.2590269104475,1.0704286262965823
ARG,2011-Q4,1158823.1,939770.5,213633.2,208991.6,193927.5,41730660,0,0,0,0,0,0,0,2011,4,8048,4.255637650626376,6.705446007160987,7.419965038135601,7.551844520903117,12.395122512846513,1.0647400974978185,4.3474882183696995,6.935371366865373,7.702181184791956,7.844311964336681,13.196065841699744,1.0704286262965823
ARG,2012-Q1,1147752.7,923957.3,202394.8,209210.9,184688.5,42161721,0,0,0,0,0,0,0,2012,1,8049,0.9440962346436876,2.519966931003559,-3.212979593017451,4.98731988208263,2.0392951945996884,1.0276613644943922,0.9485668811376912,2.551986492702052,-3.16191179756492,5.113780241246668,2.0602308904218214,1.0329599388075872
ARG,2012-Q2,1107618.5,915325.7,186702.3,180076.4,171499.4,42161721,0,0,0,0,0,0,0,2012,2,8050,-3.831977867968739,-0.07884793318559957,-13.56252497466386,-10.063391988162351,-10.240851398874362,1.0276613644943922,-3.7594864964459074,-0.07881685637112223,-12.683020821592606,-9.573599462492478,-9.733927319504076,1.0329599388075872
ARG,2012-Q3,1142744.4,951203.2,199927.2,195662.7,180845.6,42161721,0,0,0,0,0,0,0,2012,3,8051,-1.4920972059050186,1.241874189603287,-9.610460799488152,-6.0965035747727825,-9.04794523930672,1.0276613644943922,-1.4810205952446531,1.2496174678420235,-9.163101156002396,-5.9143864467807505,-8.650689619465425,1.0329599388075872
ARG,2012-Q4,1161201.3,958620.1,206925.3,196690.2,189749.3,42161721,0,0,0,0,0,0,0,2012,4,8052,0.20501515699482553,1.9859158065475668,-3.19026671484881,-6.066415767975819,-2.178065067126056,1.0276613644943922,0.2052254567586731,2.0057663014533933,-3.1399145825648955,-5.88607389005108,-2.1545165074576933,1.0329599388075872
ARG,2013-Q1,1160208.3,953773.6,203194.7,189015.1,184344.4,42582455,0,0,0,0,0,0,0,2013,1,8053,1.079370139012248,3.1760468269752096,0.39443873033349064,-10.15159280357505,-0.18648749188745484,0.9929589896813696,1.085216353662255,3.227021421877385,0.3952176636949245,-9.653321122369816,-0.1863137120069802,0.9979051851322752
ARG,2013-Q2,1167896.7,960162.6,205894.1,195952.2,192506.4,42582455,0,0,0,0,0,0,0,2013,2,8054,5.2992223758041135,4.782268689729108,9.784658923594414,8.44895466529394,11.554963187082556,0.9929589896813696,5.442144565118756,4.898464011225734,10.279359172329428,8.816146924305478,12.249022445559588,0.9979051851322752
ARG,2013-Q3,1175616.2,989440.4,203525.6,191639.6,189239.1,42582455,0,0,0,0,0,0,0,2013,3,8055,2.8359697906735093,3.941182124546216,1.783849521252101,-2.0775733616272163,4.536766633881051,0.9929589896813696,2.8765662732628705,4.019877140867489,1.7998551472736102,-2.056140490752711,4.641251985118799,0.9979051851322752
ARG,2013-Q4,1165261.9,992955.7,201956.5,177517.8,188913,42582455,0,0,0,0,0,0,0,2013,4,8056,0.3490795920107814,3.519119617986277,-2.4305530894904948,-10.255901651205868,-0.44171355836564175,0.9929589896813696,0.34968958439849374,3.5817734261987644,-2.401253012560567,-9.747511568954636,-0.440739438827964,0.9979051851322752
ARG,2014-Q1,1147654.1,973685.5,197604.4,169910.4,180409.9,43024071,0,0,0,0,0,0,0,2014,1,8057,-1.0879612088007915,2.0662029501012924,-2.789758041466861,-10.6555666765761,-2.1574263046932884,1.0317435786983964,-1.0820643155198928,2.087696702865327,-2.751203648520373,-10.1074993479357,-2.134320326519279,1.037084404832922
ARG,2014-Q2,1138901.1,935818.5,193957.8,177759.6,169504.9,43024071,0,0,1,0,0,0,0,2014,2,8058,-2.514058857206969,-2.568109770139948,-5.97213493084805,-9.743867627276437,-12.724756497119216,1.0317435786983964,-2.4827195761405796,-2.5354143142005348,-5.797300651159998,-9.284202984197163,-11.948433922196877,1.037084404832922
ARG,2014-Q3,1129779.6,925049.2,186597.3,176893.9,161725.9,43024071,0,0,0,0,0,0,0,2014,3,8059,-3.976986621216661,-6.729260550082827,-8.683897664129248,-8.006640695324663,-15.71083679691867,1.0317435786983964,-3.898942529032845,-6.507840189262549,-8.317528605738056,-7.694495292204751,-14.5388558706948,1.037084404832922
ARG,2014-Q4,1135334.8,941290.5,181382.6,176929.1,156688,43024071,0,0,0,0,0,0,0,2014,4,8060,-2.6018283209852555,-5.343424468713742,-10.74437152132166,-0.33217982232383036,-18.703002464228113,1.0317435786983964,-2.5682724201314677,-5.203172709517656,-10.187292808104708,-0.33162871554288653,-17.058116699221337,1.037084404832922
ARG,2015-Q1,1151601.9,960401.1,192719.2,163731.5,165449.8,43477012,0,0,0,0,0,0,0,2015,1,8061,0.3433983757746617,-1.3737346520880322,-2.50328450743762,-3.7043348248674945,-8.656365862908721,1.0472588873572164,0.3439886634831746,-1.3643419769525211,-2.472212157219167,-3.6365637418309897,-8.292283294874625,1.052761836507754
ARG,2015-Q2,1181059.3,1003973.5,197343.2,176480.2,172992.5,43477012,0,0,0,0,0,0,0,2015,2,8062,3.6347897497735815,7.02993580628668,1.7303735337968362,-0.7223386886323624,2.036640599963846,1.0472588873572164,3.701655920781888,7.282929328710641,1.7454312226680369,-0.7197360930155106,2.057521640967308,1.052761836507754
ARG,2015-Q3,1178662.4,988213.5,199251.1,177957.3,181731.5,43477012,0,0,0,0,0,0,0,2015,3,8063,4.235766673837382,6.605184223340288,6.561301950253728,0.5993516061417736,11.66273961454145,1.0472588873572164,4.326755413179684,6.828209786030848,6.7813414234825675,0.6011513116054301,12.370065648112028,1.052761836507754
